lemma	pos	ipa	zh	meaning_en
infarct	noun	/ˈɪnfɑːrkt/	梗死灶	an area of tissue killed by ischemia
cardiac output	phrase	/ˈkɑːrdiæk ˈaʊtpʊt/	心输出量	the volume of blood the heart pumps per minute
stroke volume	phrase	/stroʊk ˈvɑːljuːm/	每搏输出量	the volume ejected by a ventricle in one beat
vena cava	phrase	/ˈviːnə ˈkeɪvə/	腔静脉	the large vein returning blood to the right atrium
mitral	adjective	/ˈmaɪtrəl/	二尖瓣的	relating to the left atrioventricular valve
tricuspid	adjective	/traɪˈkʌspɪd/	三尖瓣的	relating to the right atrioventricular valve
aortic	adjective	/eɪˈɔːrtɪk/	主动脉的	relating to the aorta or aortic valve
regurgitation	noun	/rɪˌɡɜːrdʒɪˈteɪʃn/	反流	backward flow through an incompetent valve
cardiomyopathy	noun	/ˌkɑːrdioʊmaɪˈɑːpəθi/	心肌病	primary disease of the heart muscle
fibrillation	noun	/ˌfɪbrɪˈleɪʃn/	纤颤	rapid, uncoordinated muscle twitching, as in AF or VF
asystole	noun	/eɪˈsɪstəli/	心脏停搏	absence of electrical and mechanical cardiac activity
cardiac arrest	phrase	/ˈkɑːrdiæk əˈrest/	心脏骤停	sudden cessation of effective circulation
arteriole	noun	/ɑːrˈtɪrioʊl/	小动脉	a small resistance vessel leading to capillaries
venule	noun	/ˈvenjuːl/	小静脉	a small vein draining a capillary bed
collateral	adjective	/kəˈlætərəl/	侧支的	providing an alternative pathway of blood flow
hypertensive	adjective	/ˌhaɪpərˈtensɪv/	高血压的	having or causing high blood pressure
hypotensive	adjective	/ˌhaɪpoʊˈtensɪv/	低血压的	having or causing low blood pressure
stethoscope	noun	/ˈsteθəskoʊp/	听诊器	the instrument used to listen to heart and lung sounds
sphygmomanometer	noun	/ˌsfɪɡmoʊməˈnɑːmɪtər/	血压计	the cuff device used to measure blood pressure
orthostatic	adjective	/ˌɔːrθəˈstætɪk/	直立性的	occurring on standing, as in orthostatic hypotension
bypass	noun	/ˈbaɪpæs/	旁路；搭桥	a grafted route around a blocked vessel
stent	noun	/stɛnt/	支架	a tube placed to keep a vessel or duct open
pacemaker	noun	/ˈpeɪsˌmeɪkər/	起搏器	a device that sets or supports heart rhythm
angioplasty	noun	/ˈændʒioʊˌplæsti/	血管成形术	mechanical widening of a narrowed vessel
defibrillation	noun	/ˌdiːfɪbrɪˈleɪʃn/	除颤	an electric shock to restore an organized rhythm
cardioversion	noun	/ˌkɑːrdioʊˈvɜːrʒən/	心脏复律	timed shock or drug use to restore sinus rhythm
resuscitation	noun	/rɪˌsʌsɪˈteɪʃn/	复苏	emergency restoration of circulation and breathing
atheroma	noun	/ˌæθəˈroʊmə/	粥样斑块	the lipid-rich plaque of atherosclerosis
ischemic	adjective	/ɪˈskiːmɪk/	缺血性的	caused by or related to inadequate blood flow
hemorrhagic	adjective	/ˌheməˈrædʒɪk/	出血性的	caused by or related to bleeding
congestive	adjective	/kənˈdʒestɪv/	充血性的	marked by vascular congestion, as in heart failure
preload	noun	/ˈpriːloʊd/	前负荷	the stretch of ventricle at the end of filling
afterload	noun	/ˈæftərloʊd/	后负荷	the resistance the ventricle must overcome to eject
contractility	noun	/ˌkɑːntrækˈtɪləti/	收缩性	the intrinsic strength of muscle contraction
bronchiole	noun	/ˈbrɑːŋkioʊl/	细支气管	a small airway distal to the bronchi
emphysema	noun	/ˌemfɪˈziːmə/	肺气肿	destruction of alveolar walls with air trapping
hypoxemia	noun	/ˌhaɪpɑːkˈsiːmiə/	低氧血症	low oxygen content or tension in arterial blood
hypercapnia	noun	/ˌhaɪpərˈkæpniə/	高碳酸血症	excess carbon dioxide in the blood
bradypnea	noun	/ˌbreɪdɪpˈniːə/	呼吸过缓	an abnormally slow respiratory rate
crackle	noun	/ˈkrækəl/	爆裂音	a discontinuous lung sound of opening alveoli or fluid
surfactant	noun	/sərˈfæktənt/	表面活性物质	the alveolar lining that lowers surface tension
intercostal	adjective	/ˌɪntərˈkɑːstl/	肋间的	between the ribs
mediastinum	noun	/ˌmiːdiæˈstaɪnəm/	纵隔	the central chest compartment between the lungs
asphyxia	noun	/æsˈfɪksiə/	窒息	failure of gas exchange with life-threatening hypoxia
